"DRel";"RRel";"ProbeSaliency";"participant";"RT_io"
"DC";"RR";"salient";72;587,000000000103
"DR";"RR";"salient";72;571,142857142848
"DC";"RC";"nonsalient";73;502,736249938607
"DR";"RC";"nonsalient";73;559,559000004083
"DC";"RR";"nonsalient";73;540,005000075325
"DR";"RR";"nonsalient";73;557,894999999553
"DC";"RC";"salient";73;612,799999963803
"DR";"RC";"salient";73;563,726818167858
"DC";"RR";"salient";73;617,464999901131
"DR";"RR";"salient";73;520,356000028551
"DC";"RC";"nonsalient";74;654,925624999976
"DR";"RC";"nonsalient";74;561,431999999422
"DC";"RR";"nonsalient";74;599,07285714043
"DR";"RR";"nonsalient";74;603,141999995569
"DC";"RC";"salient";74;627,760624996853
"DR";"RC";"salient";74;575,797727273291
"DC";"RR";"salient";74;597,450000001118
"DR";"RR";"salient";74;602,516000001879
"DC";"RC";"nonsalient";75;539,611874999537
"DR";"RC";"nonsalient";75;622,661249995985
"DC";"RR";"nonsalient";75;604,759285712849
"DR";"RR";"nonsalient";75;612,339166667198
"DC";"RC";"salient";75;662,14250000121
"DR";"RC";"salient";75;655,720714284306
"DC";"RR";"salient";75;689,861666663281
"DR";"RR";"salient";75;657,777000003217
"DC";"RC";"nonsalient";76;477,79666666626
"DR";"RC";"nonsalient";76;558,489999999495
"DC";"RR";"nonsalient";76;528,435000000997
"DR";"RR";"nonsalient";76;491,855624999076
"DC";"RC";"salient";76;526,519999999408
"DR";"RC";"salient";76;454,100833333295
"DC";"RR";"salient";76;513,315833333782
"DR";"RR";"salient";76;469,746666667011
"DC";"RC";"nonsalient";77;554,049545454539
"DR";"RC";"nonsalient";77;540,954999951646
"DC";"RR";"nonsalient";77;490,930714245353
"DR";"RR";"nonsalient";77;639,502499951049
"DC";"RC";"salient";77;521,707500028424
"DR";"RC";"salient";77;573,193333344534
"DC";"RR";"salient";77;555,052000051364
"DR";"RR";"salient";77;512,685714322808
"DC";"RC";"nonsalient";78;779,15357143086
"DR";"RC";"nonsalient";78;686,016666644718
"DC";"RR";"nonsalient";78;663,045000028797
"DR";"RR";"nonsalient";78;683,754999982193
"DC";"RC";"salient";78;510,672499968981
"DR";"RC";"salient";78;602,789285725781
"DC";"RR";"salient";78;673,563749936875
"DR";"RR";"salient";78;702,050999994391
"DC";"RC";"nonsalient";80;615,542272724931
"DR";"RC";"nonsalient";80;617,933749999793
"DC";"RR";"nonsalient";80;642,71599999629
"DR";"RR";"nonsalient";80;617,699999987963
"DC";"RC";"salient";80;514,896666660207
"DR";"RC";"salient";80;625,947857134244
"DC";"RR";"salient";80;526,01000003051
"DR";"RR";"salient";80;593,46687499783
"DC";"RC";"nonsalient";81;531,591666666827
"DR";"RC";"nonsalient";81;570,178000000271
"DC";"RR";"nonsalient";81;700,610833333798
"DR";"RR";"nonsalient";81;650,805000000037
"DC";"RC";"salient";81;722,427499999867
"DR";"RC";"salient";81;535,619999999653
"DC";"RR";"salient";81;553,997000000016
"DR";"RR";"salient";81;635,204375000043
"DC";"RC";"nonsalient";87;606,507142857156
"DR";"RC";"nonsalient";87;598,590000000229
"DC";"RR";"nonsalient";87;644,880000000025
"DR";"RR";"nonsalient";87;614,2605
"DC";"RC";"salient";87;660,411666666732
"DR";"RC";"salient";87;711,963333333188
"DC";"RR";"salient";87;633,201249999985
"DR";"RR";"salient";87;493,624999999975
"DC";"RC";"nonsalient";95;551,348750000187
"DR";"RC";"nonsalient";95;569,432499999948
"DC";"RR";"nonsalient";95;521,131111110814
"DR";"RR";"nonsalient";95;530,858333332333
"DC";"RC";"salient";95;559,499375000087
"DR";"RC";"salient";95;561,474166666301
"DC";"RR";"salient";95;567,116249999799
"DR";"RR";"salient";95;498,373749999672
"DC";"RC";"nonsalient";97;920,457142870874
"DR";"RC";"nonsalient";97;779,65000004042
"DC";"RR";"nonsalient";97;730,529999992411
"DR";"RR";"nonsalient";97;765,431875013746
"DC";"RC";"salient";97;622,838333287897
"DR";"RC";"salient";97;675,164999905974
"DC";"RR";"salient";97;681,950625032187
"DR";"RR";"salient";97;591,482499963603
"DC";"RC";"nonsalient";98;565,800000007989
"DR";"RC";"nonsalient";98;532,2849999764
"DC";"RR";"nonsalient";98;551,814285705664
"DR";"RR";"nonsalient";98;500,371999992058
"DC";"RC";"salient";98;524,579285710518
"DR";"RC";"salient";98;536,486363641664
"DC";"RR";"salient";98;598,928333318327
"DR";"RR";"salient";98;475,676666654181
"DC";"RC";"nonsalient";100;585,283999994863
"DR";"RC";"nonsalient";100;566,539999979016
"DC";"RR";"nonsalient";100;549,437857149834
"DR";"RR";"nonsalient";100;520,93499997032
"DC";"RC";"salient";100;466,540000013386
"DR";"RC";"salient";100;571,614999972683
"DC";"RR";"salient";100;570,451999967918
"DR";"RR";"salient";100;537,992222221672
"DC";"RC";"nonsalient";101;550,254999985918
"DR";"RC";"nonsalient";101;561,105000018142
"DC";"RR";"nonsalient";101;524,431875004666
"DR";"RR";"nonsalient";101;526,37300004717
"DC";"RC";"salient";101;546,819545476782
"DR";"RC";"salient";101;619,095000030939
"DC";"RR";"salient";101;448,576666686373
"DR";"RR";"salient";101;460,172999999486
"DC";"RC";"nonsalient";102;945,381249941419
"DR";"RC";"nonsalient";102;657,444285761033
"DC";"RR";"nonsalient";102;905,703749973326
"DR";"RR";"nonsalient";102;898,668125038966
"DC";"RC";"salient";102;927,66958331534
"DR";"RC";"salient";102;916,639999893959
"DC";"RR";"salient";102;888,80300007295
"DR";"RR";"salient";102;715,254999930039
"DC";"RC";"nonsalient";103;525,548571454627
"DR";"RC";"nonsalient";103;545,714999956544
"DC";"RR";"nonsalient";103;598,278000019491
"DR";"RR";"nonsalient";103;636,517142876983
"DC";"RC";"salient";103;480,866428630959
"DR";"RC";"salient";103;562,203333286258
"DC";"RR";"salient";103;530,605833278969
"DR";"RR";"salient";103;529,535833358144
"DC";"RC";"nonsalient";104;461,333333333338
"DR";"RC";"nonsalient";104;517,749999999978
"DC";"RR";"nonsalient";104;524,285714285725
"DR";"RR";"nonsalient";104;538,499999999999
"DC";"RC";"salient";104;475,999999999942
"DR";"RC";"salient";104;518,999999999987
"DC";"RR";"salient";104;508,799999999996
"DR";"RR";"salient";104;481,222222222237
"DC";"RC";"nonsalient";105;532,142857142844
"DR";"RC";"nonsalient";105;584,666666666673
"DC";"RR";"nonsalient";105;513,999999999972
"DR";"RR";"nonsalient";105;547,749999999979
"DC";"RC";"salient";105;557,888888888897
"DR";"RC";"salient";105;542,85714285712
"DC";"RR";"salient";105;544,333333333327
"DR";"RR";"salient";105;562,99999999994
"DC";"RC";"nonsalient";106;614,283750000112
"DR";"RC";"nonsalient";106;550,400000000286
"DC";"RR";"nonsalient";106;670,579166666357
"DR";"RR";"nonsalient";106;604,359500000089
"DC";"RC";"salient";106;587,608000000182
"DR";"RC";"salient";106;610,527222221587
"DC";"RR";"salient";106;633,913571428447
"DR";"RR";"salient";106;594,001428571573
"DC";"RC";"nonsalient";107;676,243333301196
"DR";"RC";"nonsalient";107;571,355000021867
"DC";"RR";"nonsalient";107;620,854999947672
"DR";"RR";"nonsalient";107;619,927500083577
"DC";"RC";"salient";107;679,699166716697
"DR";"RC";"salient";107;690,363571446922
