AwareResp.keys,AwareResp.corr,AwareResp.rt,AwareQ_loop.thisRepN,AwareQ_loop.thisTrialN,AwareQ_loop.thisN,AwareQ_loop.thisIndex,AwareQ_loop.ran,AwareQ,participant,PROLIFIC_ID,Solution,Block,Condition,Saliency,SalD,NSalD,CAResponse.keys,CAResponse.corr,CALearntrials.thisRepN,CALearntrials.thisTrialN,CALearntrials.thisN,CALearntrials.thisIndex,CALearntrials.ran,CA_Proceed.keys,CA_Proceed.rt,CAResponse_2.keys,CAResponse_2.corr,CAResponse_2.rt,CA_trials.thisRepN,CA_trials.thisTrialN,CA_trials.thisN,CA_trials.thisIndex,CA_trials.ran,Target
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,CG Learn,LearnGuess,Salient,V,NA,"[""u""]",0,0,46,46,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,CG Learn,LearnGuess,Salient,G,NA,"[""u""]",1,1,0,48,41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,CG Learn,LearnGuess,NonSalient,NA,L,"[""e""]",1,1,2,50,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,CG Learn,LearnGuess,Salient,V,NA,"[""u""]",0,1,10,58,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,CG Learn,LearnGuess,Salient,G,NA,"[""e""]",0,1,11,59,45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,CG Learn,LearnGuess,NonSalient,NA,X,"[""u""]",1,1,32,80,43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,CG Learn,LearnGuess,NonSalient,NA,X,"[""e""]",0,1,38,86,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,CG Learn,LearnGuess,NonSalient,NA,L,"[""u""]",0,1,40,88,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,CG Learn,LearnGuess,Salient,V,NA,"[""u""]",0,1,43,91,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,ContingencyCheck,test,NonSalient,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[""e""]",1,[3.047499999869615],0,0,0,2,1,?
