"ResponseType";"RT_io";"CorrectAnswer";"Distance";"Distance_type";"Condition";"ACC_trials";"Validity";"Saliency";"SalD";"NSalD";"Target";"RT_Trials";"participant";"val";"sal"
"RC";687,530000053812;"e";1;1;"test";1;"invalid";"Salient";"G";NA;3;687,530000053812;56;-1;1
"RR";614,934999961406;"u";3;2;"test";1;"invalid";"Salient";"V";NA;2;614,934999961406;56;-1;1
"RC";1056,03999999585;"e";1;2;"learn";1;"valid";"V";"V";"L";5;1056,03999999585;56;1;NA
"RC";554,525000043213;"u";1;1;"test";1;"invalid";"NonSalient";NA;"L";6;554,525000043213;56;-1;-1
"RC";560,969999991357;"e";5;1;"test";1;"invalid";"NonSalient";NA;"X";7;560,969999991357;56;-1;-1
"RC";806,104999966919;"e";2;2;"learn";1;"valid";"V";"V";"L";5;806,104999966919;56;1;NA
"RC";774,100000038743;"u";2;2;"learn";1;"valid";"G";"G";"X";6;774,100000038743;56;1;NA
"RR";692,429999995511;"u";1;1;"learn";1;"valid";"Salient";"G";"X";8;692,429999995511;56;1;1
"RR";589,924999978393;"e";3;1;"learn";1;"valid";"V";"V";"L";9;589,924999978393;56;1;NA
"RR";556,489999988116;"u";2;1;"learn";1;"valid";"G";"G";"X";6;556,489999988116;56;1;NA
"RC";585,324999992736;"e";1;1;"learn";1;"invalid";"G";"G";"X";7;585,324999992736;56;-1;NA
"RC";622,960000007879;"u";1;1;"test";1;"valid";"NonSalient";NA;"X";6;622,960000007879;56;1;-1
"RR";538,714999973308;"e";4;1;"test";1;"valid";"Salient";"V";NA;7;538,714999973308;56;1;1
"RR";539,159999985714;"u";2;2;"learn";1;"valid";"G";"G";"X";2;539,159999985714;56;1;NA
"RR";512,639999971725;"u";1;1;"learn";1;"valid";"G";"G";"X";8;512,639999971725;56;1;NA
"RR";555,525000032503;"u";1;1;"learn";1;"valid";"G";"G";"X";4;555,525000032503;56;1;NA
"RR";646,064999978989;"u";1;1;"test";1;"valid";"NonSalient";NA;"X";6;646,064999978989;56;1;-1
"RR";607,015000015963;"e";9;1;"test";1;"valid";"NonSalient";NA;"L";9;607,015000015963;56;1;-1
"RR";588,820000004489;"u";2;2;"learn";1;"valid";"G";"G";"X";6;588,820000004489;56;1;NA
"RR";454,480000014883;"e";2;2;"learn";1;"valid";"V";"V";"L";7;454,480000014883;56;1;NA
"RR";NA;"e";1;1;"test";0;"valid";"NonSalient";NA;"L";3;NA;56;1;-1
"RR";622,82500002766;"e";2;1;"test";1;"valid";"NonSalient";NA;"L";5;622,82500002766;56;1;-1
"RR";471,780000021681;"u";4;1;"test";1;"valid";"Salient";"G";NA;8;471,780000021681;56;1;1
"RR";656,220000004396;"u";1;2;"learn";1;"valid";"G";"G";"X";2;656,220000004396;56;1;NA
"RR";NA;"u";1;1;"learn";0;"valid";"G";"G";"X";4;NA;56;1;NA
"RR";673,575000022538;"e";6;1;"test";1;"valid";"Salient";"V";NA;5;673,575000022538;56;1;1
"RC";641,245000006165;"e";3;1;"test";1;"invalid";"Salient";"G";NA;3;641,245000006165;56;-1;1
"RR";639,449999958742;"e";1;2;"learn";1;"invalid";"G";"G";"X";5;639,449999958742;56;-1;NA
"RC";644,349999958649;"u";7;2;"test";1;"invalid";"NonSalient";NA;"L";8;644,349999958649;56;-1;-1
"RC";726,490000030026;"u";2;1;"learn";1;"valid";"G";"G";"X";6;726,490000030026;56;1;NA
"RC";523,8450000179;"e";2;2;"learn";1;"valid";"V";"V";"L";5;523,8450000179;56;1;NA
